appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
225320,Tomb Raider III,2012-11-28,Core Design,Square Enix,911,174,"200,000 - 500,000",1083,0,210,0,6.99,15,1,Single-player,Action;Adventure
793350,Swarmlake,2018-03-12,Dominique Grieshofer,Dominique Grieshofer,1383,48,"200,000 - 500,000",51,0,54,0,2.99,2,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie
273570,Descent,2014-02-11,Parallax,Interplay Inc.,343,12,"100,000 - 200,000",99,0,99,0,9.99,3,1,Single-player;Multi-player,Action
344190,Immortal Empire,2015-12-03,Tactic Studios Inc.,Tactic Studios Inc.,208,78,"100,000 - 200,000",0,0,0,0,0.0,2,1,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Indie;RPG;Strategy
695920,Super Seducer : How to Talk to Girls,2018-03-06,RLR Training Inc,Gushmush,1190,239,"200,000 - 500,000",528,0,839,0,12.99,7,1,Single-player;Steam Achievements;Partial Controller Support,Adventure;Casual;RPG;Simulation;Strategy
99700,NightSky,2011-03-01,"Nicalis, Inc.","Nicalis, Inc.",817,110,"200,000 - 500,000",123,0,209,0,9.99,1,1,Single-player,Casual;Indie;Strategy
445190,Expeditions: Viking,2017-04-27,Logic Artists,THQ Nordic,2558,465,"200,000 - 500,000",140,0,140,0,29.99,92,1,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy
504770,Slavistan,2016-07-29,Free Candy Games,Free Candy Games,644,65,"100,000 - 200,000",248,0,291,0,1.99,0,1,Single-player;Steam Trading Cards;Stats,Action;Indie;Simulation
38600,Faerie Solitaire,2010-09-17,Subsoap,Subsoap,2270,224,"200,000 - 500,000",390,0,636,0,9.99,4,1,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie
293780,Crawl,2017-04-11,Powerhoof,Powerhoof,5417,284,"500,000 - 1,000,000",485,0,415,0,14.99,23,1,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie;RPG
403640,Dishonored 2,2016-11-11,Arkane Studios,Bethesda Softworks,39833,5775,"1,000,000 - 2,000,000",981,830,507,830,29.99,1007,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action
365450,Hacknet,2015-08-12,Team Fractal Alligator,Fellow Traveller,18718,1313,"1,000,000 - 2,000,000",9902,15229,287,15229,9.99,217,1,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor,Indie;Simulation
33670,Disciples III - Renaissance Steam Special Edition,2010-07-13,"Akella, .dat",Kalypso Media Digital,231,200,"200,000 - 500,000",761,0,1263,0,9.99,3,1,Single-player;Multi-player;Steam Achievements,Strategy;RPG
343630,CroNix,2015-07-17,MAGICS,MAGICS,212,238,"200,000 - 500,000",7,0,8,0,0.0,0,1,Multi-player;Co-op,Action;Casual;Free to Play;Strategy
405830,Turok 2: Seeds of Evil,2017-03-16,"Iguana Entertainment, Nightdive Studios",Nightdive Studios,1662,126,"100,000 - 200,000",111,0,174,0,19.99,15,1,Single-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure
208200,Doom 3: BFG Edition,2012-10-18,id Software,Bethesda Softworks,6820,1117,"500,000 - 1,000,000",515,0,265,0,19.99,93,1,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action
22600,Worms Reloaded,2010-08-26,Team17 Digital Ltd,Team17 Digital Ltd,3482,550,"500,000 - 1,000,000",890,0,681,0,19.99,75,1,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Strategy
253840,Shantae: Half-Genie Hero,2016-12-20,WayForward,WayForward,2011,212,"100,000 - 200,000",521,0,521,0,19.99,3,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie
264730,Deadly 30,2014-01-08,Ignatus Zuk and Gonzalo Villagomez,Headup,1245,398,"100,000 - 200,000",170,0,238,0,4.99,4,1,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie
712730,SIMULACRA,2017-10-26,Kaigan Games OÜ,"Kaigan Games OÜ, Neon Doctrine",2598,274,"200,000 - 500,000",243,0,376,0,4.99,15,1,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie;Simulation
502500,ACE COMBAT 7: SKIES UNKNOWN,2019-01-31,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,19620,3267,"500,000 - 1,000,000",1483,309,1159,309,59.99,638,1,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Simulation
